업종명,업소명,소재지(도로명),소재지(지번),소재지전화,관리기관전화번호,관리기관명
일반음식점,새돼지식당,경상북도 구미시 칠성로6길 50 (신평동),경상북도 구미시 신평동 150-32 ,054-463-2585,054-480-5598,경상북도 구미시청
일반음식점,한밭식당,경상북도 구미시 선산읍 선산중앙로 53-2,경상북도 구미시 선산읍 노상리 128-1 ,054-481-5084,054-480-5598,경상북도 구미시청
일반음식점,캠프김밥사곡점,경상북도 구미시 상사동로 153 (사곡동),"경상북도 구미시 사곡동 481-9 481-6,9 ",054-463-4055,054-480-5598,경상북도 구미시청
일반음식점,대구식당,경상북도 구미시 고아읍 선산대로 983-1,경상북도 구미시 고아읍 관심리 689-1 ,054-482-3234,054-480-5598,경상북도 구미시청
일반음식점,신초원식당,경상북도 구미시 송원동로 72 (원평동),경상북도 구미시 원평동 1073-1 원평동 4B 2L ,054-453-2876,054-480-5598,경상북도 구미시청
일반음식점,국민낙곱새구미원평점,"경상북도 구미시 송원동로 72, 종합버스터미널 나동 1층 (원평동)",경상북도 구미시 원평동 1073-1 종합버스터미널 1층 나동 ,054-453-0563,054-480-5598,경상북도 구미시청
일반음식점,오거리식당,경상북도 구미시 구미중앙로5길 9 (원평동),경상북도 구미시 원평동 110-28 ,054-453-2631,054-480-5598,경상북도 구미시청
일반음식점,행복반점,경상북도 구미시 선산읍 선산중앙로16길 19-1,경상북도 구미시 선산읍 완전리 200-10 ,054-481-2713,054-480-5598,경상북도 구미시청
일반음식점,장천식육식당,경상북도 구미시 장천면 강동로 197,경상북도 구미시 장천면 상장리 879-4 ,054-471-5021,054-480-5598,경상북도 구미시청
일반음식점,화신막창식당,경상북도 구미시 해평면 문량3길 17-2,경상북도 구미시 해평면 문량리 102 ,054-474-4725,054-480-5598,경상북도 구미시청
일반음식점,안성식당,경상북도 구미시 인동중앙로 23-3 (황상동),경상북도 구미시 황상동 308-1 ,054-471-0117,054-480-5598,경상북도 구미시청
일반음식점,나룻터식당(진미동),"경상북도 구미시 수출대로 326-30, 1층 (임수동)",경상북도 구미시 임수동 384-1 ,054-427-477,054-480-5598,경상북도 구미시청
일반음식점,일성바베큐,경상북도 구미시 선산읍 선산중앙로8길 19,경상북도 구미시 선산읍 이문리 107-5 ,054-481-7447,054-480-5598,경상북도 구미시청
일반음식점,고아반점,경상북도 구미시 고아읍 선산대로 971,경상북도 구미시 고아읍 관심리 673-2 ,054-481-6447,054-480-5598,경상북도 구미시청
일반음식점,소문난장족발본점,"경상북도 구미시 칠성로6길 50, 1층 108,109호 (신평동)","경상북도 구미시 신평동 150-32 1층 108,1호",054-463-3969,054-480-5598,경상북도 구미시청
일반음식점,맥시칸양념통닭,경상북도 구미시 인동중앙로8길 8 (인의동),경상북도 구미시 인의동 367-18 ,054-473-3397,054-480-5598,경상북도 구미시청
일반음식점,시장순대통닭,경상북도 구미시 인동중앙로5길 16-10 (황상동),경상북도 구미시 황상동 307-13 ,054-472-9359,054-480-5598,경상북도 구미시청
일반음식점,이화보양가든,경상북도 구미시 선산읍 선주로 109,경상북도 구미시 선산읍 완전리 48-13 ,054-481-2199,054-480-5598,경상북도 구미시청
일반음식점,모에누베이커리,"경상북도 구미시 고아읍 봉한3길 4, 1층",경상북도 구미시 고아읍 봉한리 911-151 1층 ,054-443-2343,054-480-5598,경상북도 구미시청
일반음식점,비산한식뷔페,"경상북도 구미시 신비로 156, 1층 (비산동)",경상북도 구미시 비산동 373 1층 ,054-461-8473,054-480-5598,경상북도 구미시청
일반음식점,임오식당,경상북도 구미시 임은길 47 (임은동),경상북도 구미시 임은동 374-3 ,054-463-7291,054-480-5598,경상북도 구미시청
일반음식점,딸랑분식,경상북도 구미시 여헌로14길 2 (인의동),경상북도 구미시 인의동 429-4 ,054-471-1620,054-480-5598,경상북도 구미시청
일반음식점,처갓집양념치킨구미1호점,경상북도 구미시 칠성로2길 47 (신평동),경상북도 구미시 신평동 150-17 ,054-463-4545,054-480-5598,경상북도 구미시청
일반음식점,해평순대집식당,"경상북도 구미시 인동중앙로 23-3 (황상동,외4필지)",경상북도 구미시 황상동 308-1 외4필지 ,054-471-0782,054-480-5598,경상북도 구미시청
일반음식점,동네식당,경상북도 구미시 장천면 강동로 177-42,경상북도 구미시 장천면 상장리 935-2 ,054-453-0524,054-480-5598,경상북도 구미시청
일반음식점,순이네집밥,"경상북도 구미시 구미중앙로5길 15-5, 1층 (원평동)",경상북도 구미시 원평동 14-9 1층 ,054-53-2246,054-480-5598,경상북도 구미시청
일반음식점,동래식당,경상북도 구미시 칠성로6길 50 (신평동),경상북도 구미시 신평동 150-32 ,054-461-1082,054-480-5598,경상북도 구미시청
일반음식점,한양족발식당,경상북도 구미시 산호대로 179 (공단동),경상북도 구미시 공단동 262-4 ,054-461-7955,054-480-5598,경상북도 구미시청
일반음식점,마마왕족발,경상북도 구미시 구미중앙로9길 18 (원평동),경상북도 구미시 원평동 117-18 ,054-442-6363,054-480-5598,경상북도 구미시청
일반음식점,원평맛사랑분식,경상북도 구미시 구미중앙로 61-5 (원평동),경상북도 구미시 원평동 119-17 ,054-455-7303,054-480-5598,경상북도 구미시청
일반음식점,메콩타이구미금오산점,경상북도 구미시 금오산상가길 39-10 (남통동),경상북도 구미시 남통동 296-5 ,054-455-0481,054-480-5598,경상북도 구미시청
일반음식점,에피크,경상북도 구미시 금오산상가길 39-5 (남통동),경상북도 구미시 남통동 305-2 ,054-455-5115,054-480-5598,경상북도 구미시청
일반음식점,큰나무집 궁중약백숙,경상북도 구미시 공원로 28 (남통동),경상북도 구미시 남통동 308-7 ,054-444-0122,054-480-5598,경상북도 구미시청
일반음식점,금오산길,경상북도 구미시 공원로 20 (남통동),경상북도 구미시 남통동 299 ,054-455-8842,054-480-5598,경상북도 구미시청
일반음식점,우묵베미식당,경상북도 구미시 산호대로 179 (공단동),경상북도 구미시 공단동 262-4 ,054-461-6028,054-480-5598,경상북도 구미시청
일반음식점,광장식당,경상북도 구미시 선산읍 선상서로4길 23,경상북도 구미시 선산읍 완전리 432-30 ,054-481-3610,054-480-5598,경상북도 구미시청
일반음식점,성원한식당,경상북도 구미시 고아읍 들성로11길 6-37,경상북도 구미시 고아읍 문성리 1308 ,054-481-6710,054-480-5598,경상북도 구미시청
일반음식점,임실치즈피자미스터파파,경상북도 구미시 선산읍 남문로 22,경상북도 구미시 선산읍 동부리 309-10 ,054-481-8353,054-480-5598,경상북도 구미시청
일반음식점,장원반점,"경상북도 구미시 선산읍 단계동길 56, 1층",경상북도 구미시 선산읍 완전리 97 1층 ,054-482-5243,054-480-5598,경상북도 구미시청
일반음식점,백송식당,경상북도 구미시 선산읍 단계서길 57,경상북도 구미시 선산읍 노상리 150-7 ,054-481-6246,054-480-5598,경상북도 구미시청
일반음식점,도원식당,"경상북도 구미시 해평면 해평시장2길 18, 1층",경상북도 구미시 해평면 낙성리 159-7 1층 ,054-474-4048,054-480-5598,경상북도 구미시청
일반음식점,대혜골백숙,경상북도 구미시 금오산상가길 37 (남통동),경상북도 구미시 남통동 305-6 ,054-443-6234,054-480-5598,경상북도 구미시청
일반음식점,광명식육식당,경상북도 구미시 화신로8길 14-8 (광평동),경상북도 구미시 광평동 170-2 ,054-455-2080,054-480-5598,경상북도 구미시청
일반음식점,서민막창,경상북도 구미시 금오산로 100 (원평동),경상북도 구미시 원평동 429-26 ,054-442-8798,054-480-5598,경상북도 구미시청
일반음식점,상록식육식당,경상북도 구미시 금오산로16길 9 (원평동),경상북도 구미시 원평동 428-18 ,054-452-7809,054-480-5598,경상북도 구미시청
일반음식점,서울보쌈족발,"경상북도 구미시 형곡로12길 6-16, 1층 (형곡동)",경상북도 구미시 형곡동 132-13 1층 ,054-455-7177,054-480-5598,경상북도 구미시청
일반음식점,강원식당,경상북도 구미시 형곡로 114 (형곡동),경상북도 구미시 형곡동 159-4 ,054-455-2767,054-480-5598,경상북도 구미시청
일반음식점,버드나무식당,경상북도 구미시 공원로 26 (남통동),경상북도 구미시 남통동 296-7 ,054-452-5069,054-480-5598,경상북도 구미시청
일반음식점,견우와직녀,경상북도 구미시 금오산상가길 9-12 (남통동),경상북도 구미시 남통동 291 ,054-456-7727,054-480-5598,경상북도 구미시청
일반음식점,송정백숙식당,경상북도 구미시 금오산상가길 35-2 (남통동),경상북도 구미시 남통동 305-4 ,054-452-8517,054-480-5598,경상북도 구미시청
일반음식점,경남분식,경상북도 구미시 칠성로6길 48 (신평동),경상북도 구미시 신평동 150-4 ,,054-480-5598,경상북도 구미시청
일반음식점,옛날소주방식당,경상북도 구미시 구미중앙로25길 34 (원평동),경상북도 구미시 원평동 1021-3 ,054-453-7655,054-480-5598,경상북도 구미시청
일반음식점,원조장천할매손칼국수,경상북도 구미시 장천면 상장5길 7,경상북도 구미시 장천면 상장리 919-29 ,,054-480-5598,경상북도 구미시청
일반음식점,도리사가든,경상북도 구미시 해평면 도리사로 397,경상북도 구미시 해평면 송곡리 398-2 ,054-474-4868,054-480-5598,경상북도 구미시청
일반음식점,치키치키도량점,경상북도 구미시 문장로3길 26 (도량동),경상북도 구미시 도량동 560-2 ,054-456-2767,054-480-5598,경상북도 구미시청
일반음식점,다운칼국수,경상북도 구미시 임은길 52 (임은동),경상북도 구미시 임은동 374-4 ,054-464-0700,054-480-5598,경상북도 구미시청
일반음식점,아름식당,경상북도 구미시 1공단로 192 (공단동),경상북도 구미시 공단동 264-18 ,054-461-5393,054-480-5598,경상북도 구미시청
일반음식점,나들이,경상북도 구미시 1공단로 192 (공단동),경상북도 구미시 공단동 264-18 ,054-463-9121,054-480-5598,경상북도 구미시청
일반음식점,도개분식,"경상북도 구미시 송원동로 32-6 (송정동,14호)",경상북도 구미시 송정동 64 14호 ,054-455-5678,054-480-5598,경상북도 구미시청
일반음식점,치킨코아 선산점,경상북도 구미시 선산읍 선주로 94,경상북도 구미시 선산읍 노상리 105-6 ,054-482-3823,054-480-5598,경상북도 구미시청
일반음식점,516식당,경상북도 구미시 선산읍 선산중앙로16길 28-1,경상북도 구미시 선산읍 완전리 180-25 ,054-481-7269,054-480-5598,경상북도 구미시청
일반음식점,지코바숯불양념치킨선산점,"경상북도 구미시 선산읍 선산중앙로 59-2 (,122-4)","경상북도 구미시 선산읍 노상리 368-6 ,122-4 ",054-481-9909,054-480-5598,경상북도 구미시청
일반음식점,다정식당,"경상북도 구미시 선산읍 동교13길 3, 1층",경상북도 구미시 선산읍 교리 1197 1층 ,054-482-7744,054-480-5598,경상북도 구미시청
일반음식점,멕시카나양념통닭,경상북도 구미시 산동읍 강동로 1017,경상북도 구미시 산동읍 적림리 71-9 ,,054-480-5598,경상북도 구미시청
일반음식점,투다리공단1호점,경상북도 구미시 산호대로 199 (공단동),경상북도 구미시 공단동 263 ,054-461-9290,054-480-5598,경상북도 구미시청
일반음식점,상해반점,"경상북도 구미시 광평길 25, 1층 (광평동)",경상북도 구미시 광평동 87-13 1층 ,054-461-4246,054-480-5598,경상북도 구미시청
일반음식점,동산구이식당,경상북도 구미시 형곡서로 31 (형곡동),경상북도 구미시 형곡동 310-2 ,054-457-4040,054-480-5598,경상북도 구미시청
일반음식점,터미널포차,경상북도 구미시 송원동로 69 (원평동),경상북도 구미시 원평동 1072-6 ,054-453-6839,054-480-5598,경상북도 구미시청
일반음식점,비아보스코,경상북도 구미시 금오산상가길 39-2 (남통동),경상북도 구미시 남통동 307-3 ,054-451-0280,054-480-5598,경상북도 구미시청
일반음식점,민속순대곱창,경상북도 구미시 형곡로 186 (형곡동),경상북도 구미시 형곡동 321 ,054-455-6847,054-480-5598,경상북도 구미시청
일반음식점,원풍식당,경상북도 구미시 선산읍 단계서4길 8,경상북도 구미시 선산읍 노상리 53-4 ,054-482-0388,054-480-5598,경상북도 구미시청
일반음식점,고향반점,경상북도 구미시 고아읍 문장로27길 10,경상북도 구미시 고아읍 원호리 411-5 ,054-443-4413,054-480-5598,경상북도 구미시청
일반음식점,교동왕족발,"경상북도 구미시 선산읍 동교5길 12-8, 1층 103호 (우창콤비타운)",경상북도 구미시 선산읍 교리 1154 우창콤비타운 1층 103호,054-482-1285,054-480-5598,경상북도 구미시청
일반음식점,우창반점,경상북도 구미시 선산읍 동교5길 12-8 (우창콤비타운),경상북도 구미시 선산읍 교리 1154 우창콤비타운 ,054-482-0664,054-480-5598,경상북도 구미시청
일반음식점,문성보양탕,경상북도 구미시 고아읍 문성9길 10,경상북도 구미시 고아읍 문성리 53-13 외 1필 ,054-454-8591,054-480-5598,경상북도 구미시청
일반음식점,양정식당,경상북도 구미시 무을면 상무로 952-1,경상북도 구미시 무을면 무수리 938-6 ,054-481-1978,054-480-5598,경상북도 구미시청
일반음식점,멕시카나치킨장천점,경상북도 구미시 장천면 강동로 169-1 (나동),경상북도 구미시 장천면 상장리 707-2 나동 ,054-473-4554,054-480-5598,경상북도 구미시청
일반음식점,파도회식당,경상북도 구미시 검성로 74 (황상동),경상북도 구미시 황상동 200-1 ,054-471-1685,054-480-5598,경상북도 구미시청
일반음식점,거제복집,"경상북도 구미시 신시로16길 49 (송정동, 1층)",경상북도 구미시 송정동 460-6 1층 ,054-462-0096,054-480-5598,경상북도 구미시청
일반음식점,고아분식,"경상북도 구미시 구미중앙로9길 11, 2층동 225호 (원평동)",경상북도 구미시 원평동 117-20 2층동 225호,054-455-4805,054-480-5598,경상북도 구미시청
일반음식점,배시내식당,"경상북도 구미시 광평길 16, 1층 (광평동)",경상북도 구미시 광평동 76-3 1층 ,054-462-2912,054-480-5598,경상북도 구미시청
일반음식점,인동지점홍천뚝배기,경상북도 구미시 수출대로 502 (황상동),경상북도 구미시 황상동 357-1 ,054-471-2003,054-480-5598,경상북도 구미시청
일반음식점,시원진반찬,경상북도 구미시 신비로1길 6-5 (신평동),경상북도 구미시 신평동 70-253 ,054-461-9533,054-480-5598,경상북도 구미시청
일반음식점,헐랭이. 안동찜닭,"경상북도 구미시 원남로4길 27-2 (원평동,외 1필지)",경상북도 구미시 원평동 74-9 외 1필지 ,054-452-0505,054-480-5598,경상북도 구미시청
일반음식점,서울뼈해장국해평점,"경상북도 구미시 해평면 강동로 1618-4, 1층",경상북도 구미시 해평면 낙성리 66-6 1층 ,054-455-8805,054-480-5598,경상북도 구미시청
일반음식점,투다리해평점,경상북도 구미시 해평면 강동로 1658,경상북도 구미시 해평면 월호리 469-13 ,,054-480-5598,경상북도 구미시청
일반음식점,싱싱회센터,"경상북도 구미시 임은길 36, 1층 (임은동)",경상북도 구미시 임은동 318-2 1층 ,033-651-0393,054-480-5598,경상북도 구미시청
일반음식점,일회,경상북도 구미시 임은길 33 (임은동),경상북도 구미시 임은동 320-1 ,054-465-7758,054-480-5598,경상북도 구미시청
일반음식점,일미삼겹살,"경상북도 구미시 1공단로 186-17, 2층동 3호 (공단동)",경상북도 구미시 공단동 264-16 2층동 3호,054-463-6919,054-480-5598,경상북도 구미시청
일반음식점,천일식당,경상북도 구미시 상사동로15길 6 (사곡동),경상북도 구미시 사곡동 515-3 ,054-463-2145,054-480-5598,경상북도 구미시청
일반음식점,멕시카나치킨사곡점,경상북도 구미시 상사동로16길 8 (사곡동),경상북도 구미시 사곡동 220-3 ,054-461-1588,054-480-5598,경상북도 구미시청
일반음식점,보승루식당,경상북도 구미시 구미대로30길 26 (신평동),경상북도 구미시 신평동 361-15 ,054-463-5461,054-480-5598,경상북도 구미시청
일반음식점,홍천뚝배기임은점,경상북도 구미시 임은길 58 (임은동),경상북도 구미시 임은동 377-5 ,054-461-6645,054-480-5598,경상북도 구미시청
일반음식점,태화루반점,경상북도 구미시 비산로 65 (비산동),경상북도 구미시 비산동 345-4 ,054-462-5700,054-480-5598,경상북도 구미시청
일반음식점,자유공간식당,경상북도 구미시 임은길 50 (임은동),경상북도 구미시 임은동 374-2 ,054-461-5528,054-480-5598,경상북도 구미시청
일반음식점,개구리반점식당,경상북도 구미시 산업로4길 28 (원평동),경상북도 구미시 원평동 10-1 ,054-455-7220,054-480-5598,경상북도 구미시청
일반음식점,동창생,경상북도 구미시 금오산상가길 9-8 (남통동),경상북도 구미시 남통동 270-3 ,054-453-4271,054-480-5598,경상북도 구미시청
일반음식점,대영식당,경상북도 구미시 금오시장로4길 7-1 (원평동),경상북도 구미시 원평동 1032-55 ,054-453-3945,054-480-5598,경상북도 구미시청
일반음식점,남구미토종식당,경상북도 구미시 지주중류1길 66 (오태동),경상북도 구미시 오태동 164 ,054-464-2288,054-480-5598,경상북도 구미시청
일반음식점,선산고을식당,경상북도 구미시 신시로16길 83 (송정동),경상북도 구미시 송정동 457-6 ,054-456-1400,054-480-5598,경상북도 구미시청
일반음식점,성주골식당,"경상북도 구미시 칠성로6길 56 (신평동,1층 10호)",경상북도 구미시 신평동 150-31 1층 10호 ,054-461-4049,054-480-5598,경상북도 구미시청
일반음식점,교촌치킨형곡점,"경상북도 구미시 형곡로 100, 1층 102호 (형곡동)",경상북도 구미시 형곡동 152-4 1층 102호,054-451-1922,054-480-5598,경상북도 구미시청
일반음식점,팔도식당,경상북도 구미시 비산로3길 14-3 (비산동),경상북도 구미시 비산동 349-2 ,054-461-4324,054-480-5598,경상북도 구미시청
일반음식점,금오산성숯불갈비,경상북도 구미시 산업로 224 (원평동),경상북도 구미시 원평동 1050-2 ,054-457-7500,054-480-5598,경상북도 구미시청
일반음식점,맛나돈,"경상북도 구미시 상사서로 112 (상모동,1층)",경상북도 구미시 상모동 536-1 1층 ,054-457-5505,054-480-5598,경상북도 구미시청
일반음식점,이조곰탕,경상북도 구미시 구미중앙로31길 12 (원평동),경상북도 구미시 원평동 1037-40 ,054-455-6188,054-480-5598,경상북도 구미시청
일반음식점,전원숯불사곡점,경상북도 구미시 새마을로 94 (사곡동),경상북도 구미시 사곡동 402 ,054-463-6575,054-480-5598,경상북도 구미시청
일반음식점,골목대장분식,경상북도 구미시 구미중앙로9길 14-2 (원평동),경상북도 구미시 원평동 119-7 ,054-452-2935,054-480-5598,경상북도 구미시청
일반음식점,청운각,"경상북도 구미시 비산로 41, 1층 (비산동)",경상북도 구미시 비산동 341-8 1층 ,054-461-1319,054-480-5598,경상북도 구미시청
일반음식점,교촌치킨상모점,"경상북도 구미시 상사서로 92, 1층 (상모동)",경상북도 구미시 상모동 42-7 1층 ,054-461-3738,054-480-5598,경상북도 구미시청
일반음식점,무을순대본점,경상북도 구미시 선산읍 선상동로 108,경상북도 구미시 선산읍 생곡리 837 ,054-475-7118,054-480-5598,경상북도 구미시청
일반음식점,페리카나봉곡점,"경상북도 구미시 봉곡남로9길 35, 1층 (봉곡동)",경상북도 구미시 봉곡동 201-8 1층 ,054-455-6150,054-480-5598,경상북도 구미시청
일반음식점,교촌치킨선산점,"경상북도 구미시 선산읍 선산중앙로 98-1, 1층",경상북도 구미시 선산읍 동부리 416 1층 ,054-482-4870,054-480-5598,경상북도 구미시청
일반음식점,사흘에한번뽁음식당,경상북도 구미시 선산읍 단계동길 78,경상북도 구미시 선산읍 완전리 49 ,054-482-3144,054-480-5598,경상북도 구미시청
일반음식점,개드레날린휴개소,경상북도 구미시 고아읍 선산대로 1162,경상북도 구미시 고아읍 오로리 431-6 ,054-481-1915,054-480-5598,경상북도 구미시청
일반음식점,안압지식당,경상북도 구미시 고아읍 들성로11길 13 (1층),경상북도 구미시 고아읍 문성리 1267 1층 ,054-481-9572,054-480-5598,경상북도 구미시청
일반음식점,삼포수산식당,경상북도 구미시 송정대로 76 (송정동),경상북도 구미시 송정동 458-13 ,054-452-9993,054-480-5598,경상북도 구미시청
일반음식점,배짱이뷔페,경상북도 구미시 산동읍 동백로 16,경상북도 구미시 산동읍 적림리 58-5 ,054-471-6758,054-480-5598,경상북도 구미시청
일반음식점,해평우리집,경상북도 구미시 해평면 강동로 1633,경상북도 구미시 해평면 낙성리 138-2 ,054-454-3586,054-480-5598,경상북도 구미시청
일반음식점,곽보석죽염찜탕,"경상북도 구미시 신비로4길 20-10, 1층 (신평동)",경상북도 구미시 신평동 169-6 1층 ,054-462-0580,054-480-5598,경상북도 구미시청
일반음식점,금산할매집신평점,"경상북도 구미시 구미중앙로45길 7 (신평동,2동 1층)",경상북도 구미시 신평동 156-4 2동 1층 ,054-463-2992,054-480-5598,경상북도 구미시청
일반음식점,둥실원식당,경상북도 구미시 금오산로12길 5-1 (원평동),경상북도 구미시 원평동 429-21 ,054-453-1461,054-480-5598,경상북도 구미시청
일반음식점,멕시카나치킨도량점,경상북도 구미시 문장로12길 29-10 (도량동),경상북도 구미시 도량동 750 ,054-454-2211,054-480-5598,경상북도 구미시청
일반음식점,심플,경상북도 구미시 수출대로 533 (황상동),경상북도 구미시 황상동 275-33 ,054-473-4029,054-480-5598,경상북도 구미시청
일반음식점,삼복식당,"경상북도 구미시 칠성로6길 56, 신평상가 1층 117,120,121,122호 (신평동)","경상북도 구미시 신평동 150-31 신평상가 1층 117,120,121,122호 ",054-461-4380,054-480-5598,경상북도 구미시청
일반음식점,맥시칸양념통닭황상점,경상북도 구미시 검성로 51 (황상동),경상북도 구미시 황상동 212 ,054-472-3816,054-480-5598,경상북도 구미시청
일반음식점,아미브레,경상북도 구미시 문화로 36 (원평동),경상북도 구미시 원평동 371-11 ,054-456-6222,054-480-5598,경상북도 구미시청
일반음식점,싱글벙글식당,경상북도 구미시 역전로 10 (원평동),경상북도 구미시 원평동 126-7 ,054-452-4515,054-480-5598,경상북도 구미시청
일반음식점,백년친구,"경상북도 구미시 송동로 70-8, 1층 (도량동)",경상북도 구미시 도량동 268-4 1층 ,054-451-5503,054-480-5598,경상북도 구미시청
일반음식점,오니기리야,경상북도 구미시 구미중앙로17길 10 (원평동),경상북도 구미시 원평동 374-10 ,054-452-5272,054-480-5598,경상북도 구미시청
일반음식점,함지성,"경상북도 구미시 구미중앙로21길 19 (원평동,1층)",경상북도 구미시 원평동 301-1 1층 ,054-451-8538,054-480-5598,경상북도 구미시청
일반음식점,민호프,"경상북도 구미시 흥안로 73, 상가동 2층 203호 (옥계동)",경상북도 구미시 옥계동 539 2층 상가동 203호,054-473-7155,054-480-5598,경상북도 구미시청
일반음식점,샹하이탄,경상북도 구미시 3공단1로 271 (임수동),경상북도 구미시 임수동 520 ,054-476-8777,054-480-5598,경상북도 구미시청
일반음식점,송죽초밥,"경상북도 구미시 구미중앙로31길 9 (원평동,1층)",경상북도 구미시 원평동 1037-47 1층 ,054-453-1286,054-480-5598,경상북도 구미시청
일반음식점,동해순대,"경상북도 구미시 형곡로 186 (형곡동, 중앙시장 18호)",경상북도 구미시 형곡동 321 중앙시장 18호 ,054-452-3224,054-480-5598,경상북도 구미시청
일반음식점,람보기사식당,경상북도 구미시 구미중앙로 28-5 (원평동),경상북도 구미시 원평동 66-1 ,054-452-5686,054-480-5598,경상북도 구미시청
일반음식점,함양식당,"경상북도 구미시 3공단1로 302-7 (임수동,구미공구상가 지하1층41호)",경상북도 구미시 임수동 92-9 구미공구상가 지하1층41호 ,054-472-9446,054-480-5598,경상북도 구미시청
일반음식점,고향복어샤브샤브,경상북도 구미시 칠성로2길 45-3 (신평동),경상북도 구미시 신평동 150-59 ,054-464-8697,054-480-5598,경상북도 구미시청
일반음식점,조선옥,"경상북도 구미시 송원서로8길 44 (원평동,나동)",경상북도 구미시 원평동 1054 나동 ,054-458-1444,054-480-5598,경상북도 구미시청
일반음식점,처가집양념통닭도량2점,경상북도 구미시 송동로 73 (도량동),경상북도 구미시 도량동 245-2 ,054-442-1414,054-480-5598,경상북도 구미시청
일반음식점,똔뽈숯불구이송정점,경상북도 구미시 신시로10길 87-13 (송정동),경상북도 구미시 송정동 480-35 ,054-471-1904,054-480-5598,경상북도 구미시청
일반음식점,삼복가든,경상북도 구미시 금오대로 478 (임은동),경상북도 구미시 임은동 472-6 ,054-464-4656,054-480-5598,경상북도 구미시청
일반음식점,무쏘인동점,경상북도 구미시 인동중앙로3길 18-8 (황상동),경상북도 구미시 황상동 306-2 ,054-475-8579,054-480-5598,경상북도 구미시청
일반음식점,만복식당,"경상북도 구미시 구미중앙로15길 13-2, 1층 (원평동)",경상북도 구미시 원평동 142-2 1층 ,054-454-6724,054-480-5598,경상북도 구미시청
