store_name,addr,legal_dong,dong,category,store_name_clean
슈의라면카페,"경상북도 구미시 도봉로1길 4-29, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,슈의라면카페
더홀릭보드게임카페구미역점,"경상북도 구미시 문화로 21, 2층 (원평동)",원평동,원평동,커피전문점,더홀릭보드게임카페구미역점
캠토커피전문점 터미널점,경상북도 구미시 송원동로 72 (원평동),원평동,원평동,커피전문점,캠토커피전문점터미널점
쥬씨구평점,"경상북도 구미시 인동36길 24-2, 1-3호 (진평동)",진평동,진미동,커피전문점,쥬씨구평점
커피야,"경상북도 구미시 봉곡로 170, 3층 (봉곡동)",봉곡동,선주원남동,커피전문점,커피야
스타벅스구미인동점,"경상북도 구미시 인동가산로 9-3 (황상동,외1필지 101호)",황상동,인동동,커피전문점,스타벅스구미인동점
빽다방구미구평롯데점,"경상북도 구미시 인동36길 21 (구평동,1층)",구평동,인동동,커피전문점,빽다방구미구평롯데점
핸즈커피 원호점,"경상북도 구미시 고아읍 문장로26길 3 (낙원상가 105호,106호)",고아읍,고아읍,커피전문점,핸즈커피원호점
카페트리,"경상북도 구미시 금오산로 419 (남통동,호텔금오산 1층)",남통동,선주원남동,커피전문점,카페트리
핸즈커피인동점,경상북도 구미시 여헌로 32-5 (인의동),인의동,인동동,커피전문점,핸즈커피인동점
스타벅스구미공단점,"경상북도 구미시 1공단로 212 (공단동, 구미한라시그마밸리 106호)",공단동,공단동,커피전문점,스타벅스구미공단점
할리스구미시청점,"경상북도 구미시 송정대로 54, 1, 2층 (송정동)",송정동,송정동,커피전문점,할리스구미시청점
더벤티진평점,"경상북도 구미시 인동36길 24-4, 1층 (진평동)",진평동,진미동,커피전문점,더벤티진평점
커피온,"경상북도 구미시 형곡서로 122, 상가동 105호 (형곡동, 풍림1단지)",형곡동,형곡1동,커피전문점,커피온
파스쿠찌구미인동점,경상북도 구미시 인동남길 130 (진평동),진평동,진미동,커피전문점,파스쿠찌구미인동점
커피집,"경상북도 구미시 봉곡로18길 29, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,커피집
이디야커피구미인동점,"경상북도 구미시 인동가산로 14, 1층 106호 (진평동, 시네마월드)",진평동,진미동,커피전문점,이디야커피구미인동점
디저트39구미옥계점,"경상북도 구미시 산호대로31길 6, 2층 (옥계동)",옥계동,양포동,제과점/아이스크림,디저트39구미옥계점
카페인,"경상북도 구미시 옥계북로 22, 타워밸리 1동 2층 202호 (옥계동)",옥계동,양포동,커피전문점,카페인
드롭탑구미원평점,"경상북도 구미시 구미중앙로15길 8, 1, 2층 (원평동)",원평동,원평동,커피전문점,드롭탑구미원평점
로작커피,"경상북도 구미시 신시로17길 3, 1층 (형곡동)",형곡동,형곡1동,커피전문점,로작커피
녹스커피,"경상북도 구미시 장천면 강동로 188, 1층",장천면,장천면,커피전문점,녹스커피
카페톤,"경상북도 구미시 선산읍 선산중앙로 74, 1층",선산읍,선산읍,커피전문점,카페톤
커피할배순천향점,"경상북도 구미시 1공단로 179, 1층 (공단동)",공단동,공단동,커피전문점,커피할배순천향점
스타벅스구미금오산디티점,"경상북도 구미시 금오산로 205, 1동 1,2층 (남통동)",남통동,선주원남동,커피전문점,스타벅스구미금오산디티점
맘스터치구평점,"경상북도 구미시 인동38길 5-1, 1층 (구평동)",구평동,인동동,패스트푸드,맘스터치구평점
할리스커피구미CGV점,"경상북도 구미시 구미중앙로 44, 1층 (원평동, 멀티복합상가)",원평동,원평동,커피전문점,할리스커피구미cgv점
카페숲,"경상북도 구미시 해평면 도리사로 403-3, A동 2층",해평면,해평면,커피전문점,카페숲
카페카리타스,"경상북도 구미시 박정희로 123, 9동 2층 (상모동)",상모동,상모사곡동,커피전문점,카페카리타스
요거프레소봉곡테마공원점,"경상북도 구미시 봉곡남로17길 18, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,요거프레소봉곡테마공원점
설빙경북구미봉곡점,"경상북도 구미시 봉곡로18길 35, 2층 (봉곡동)",봉곡동,선주원남동,제과점/아이스크림,설빙경북구미봉곡점
커피엔,"경상북도 구미시 야은로 753, 1층 1호 (신평동)",신평동,신평1동,커피전문점,커피엔
더카페구미이마트점,"경상북도 구미시 구미대로 256, 1층 (광평동, 이마트구미점)",광평동,광평동,커피전문점,더카페구미이마트점
앨리스스토리카페,"경상북도 구미시 문장로12길 29-5, 102호 (도량동)",도량동,도량동,커피전문점,앨리스스토리카페
공차구미점,"경상북도 구미시 구미중앙로 97, 1층 2층 (원평동)",원평동,원평동,커피전문점,공차구미점
파스쿠찌구미봉곡점,"경상북도 구미시 봉곡남로25길 3, 1층,2층 (봉곡동)",봉곡동,선주원남동,커피전문점,파스쿠찌구미봉곡점
선산산업(주)선산휴게소상지점엔제리너스,"경상북도 구미시 옥성면 중부내륙고속도로 128, 24동 1층 (선산휴게소 상행선)",옥성면,옥성면,커피전문점,선산산업(주)선산휴게소상지점엔제리너스
선산산업(주)선산휴게소하지점할리스커피,"경상북도 구미시 옥성면 중부내륙고속도로 129, 24동 1층 (선산휴게소 하행선)",옥성면,옥성면,커피전문점,선산산업(주)선산휴게소하지점할리스커피
맘인더가든,"경상북도 구미시 공원로 349, 1층 (형곡동)",형곡동,형곡1동,한식,맘인더가든
카페휴림,"경상북도 구미시 고아읍 선산대로 625, 나동 1층",고아읍,고아읍,커피전문점,카페휴림
이디야커피구미봉곡점,"경상북도 구미시 야은로 299, 1층 101호 (도량동)",도량동,도량동,커피전문점,이디야커피구미봉곡점
봄봄구미점,"경상북도 구미시 문화로 36-1, 1층 (원평동)",원평동,원평동,커피전문점,봄봄구미점
이디야커피동구미이마트점,"경상북도 구미시 이계북로 23, 2층 (임수동, 동구미이마트)",임수동,진미동,커피전문점,이디야커피동구미이마트점
카페다오,"경상북도 구미시 산동읍 강동로 694-3, 1동 1층",산동읍,산동읍,커피전문점,카페다오
커피볶는이야기,"경상북도 구미시 인동54안길 15, 1층 (구평동)",구평동,인동동,커피전문점,커피볶는이야기
미소다방,"경상북도 구미시 금오시장로9길 8, 1층 (원평동)",원평동,원평동,커피전문점,미소다방
더벤티구미원평점,"경상북도 구미시 문화로 33, 1층 (원평동)",원평동,원평동,커피전문점,더벤티구미원평점
스타벅스구미시청디티점,경상북도 구미시 송정대로 27 (송정동),송정동,송정동,커피전문점,스타벅스구미시청디티점
투썸플레이스구미들성공원점,경상북도 구미시 고아읍 들성로 179 (1층),고아읍,고아읍,커피전문점,투썸플레이스구미들성공원점
카페봄봄구미북삼점,"경상북도 구미시 금오대로 294-1 (오태동, 1층)",오태동,임오동,커피전문점,카페봄봄구미북삼점
파스쿠찌신평대로점,"경상북도 구미시 구미대로 326 (신평동, 대금빌딩 103,104,105호)",신평동,신평1동,커피전문점,파스쿠찌신평대로점
더벤티상모점,"경상북도 구미시 상사서로 55 (상모동, 상모프라자 1층 119-1호)",상모동,상모사곡동,커피전문점,더벤티상모점
이디야커피구미역점,"경상북도 구미시 구미중앙로 84 (원평동, 1,2층)",원평동,원평동,커피전문점,이디야커피구미역점
카페100,"경상북도 구미시 선산읍 남문로3길 26-3, 1층",선산읍,선산읍,커피전문점,카페100
이디야커피구미황상점,"경상북도 구미시 검성로 42-3, 1층 (황상동)",황상동,인동동,커피전문점,이디야커피구미황상점
이득카페,"경상북도 구미시 봉곡남로 127, 2층 (봉곡동)",봉곡동,선주원남동,커피전문점,이득카페
카페카리타스송정점,"경상북도 구미시 백산로 118, 1층 (송정동, 구미종합고용지원센터)",송정동,송정동,커피전문점,카페카리타스송정점
이디야커피구미옥계동점,"경상북도 구미시 산호대로23길 35 (옥계동, 1층)",옥계동,양포동,커피전문점,이디야커피구미옥계동점
스타벅스구미옥계점,"경상북도 구미시 옥계북로 20, 1층 (옥계동)",옥계동,양포동,커피전문점,스타벅스구미옥계점
핸즈커피구미비산점,"경상북도 구미시 비산로1길 32, 1,2층 (비산동)",비산동,비산동,커피전문점,핸즈커피구미비산점
더벤티구미롯데마트점,"경상북도 구미시 구미대로22길 11 (신평동, 롯데마트 구미점)",신평동,신평1동,커피전문점,더벤티구미롯데마트점
샤론카페,"경상북도 구미시 선기로2길 5-66, 1층 (선기동)",선기동,선주원남동,커피전문점,샤론카페
더벤티도량점,"경상북도 구미시 도봉로 76-61, 1층 104호 (도량동)",도량동,도량동,커피전문점,더벤티도량점
까페오즈,"경상북도 구미시 신비로 9-3, 1층 (신평동)",신평동,신평1동,커피전문점,까페오즈
요거프레소인동점,"경상북도 구미시 인동15길 5, 1층 101호 (인의동)",인의동,인동동,커피전문점,요거프레소인동점
이디야커피구미시청점,"경상북도 구미시 송원서로 29, 1층 (송정동)",송정동,송정동,커피전문점,이디야커피구미시청점
퍼블릭커피로스터즈,"경상북도 구미시 산동읍 첨단기업1로 42, 1동 1층",산동읍,산동읍,커피전문점,퍼블릭커피로스터즈
이디야커피인동중앙점,"경상북도 구미시 인동중앙로6길 39, 1동 1층 (인의동)",인의동,인동동,커피전문점,이디야커피인동중앙점
커피마루,"경상북도 구미시 인동남길 72, 1층 (진평동)",진평동,진미동,커피전문점,커피마루
시골카페,"경상북도 구미시 선산읍 선산중앙로8길 14, 1층",선산읍,선산읍,커피전문점,시골카페
커피핫이또,"경상북도 구미시 인동38길 9-16, B동 1층 102호 (구평동, 구평동종합프라자)",구평동,인동동,커피전문점,커피핫이또
카페도란도란,"경상북도 구미시 송정대로6길 51-1, 1층 (송정동)",송정동,송정동,커피전문점,카페도란도란
이디야커피구미구평점,"경상북도 구미시 인동43길 5-7, B동 1층 (구평동, 강동빌딩)",구평동,인동동,커피전문점,이디야커피구미구평점
감성커피동락공원점,"경상북도 구미시 3공단2로 307, A동 1층 (임수동)",임수동,진미동,커피전문점,감성커피동락공원점
올데이커피,"경상북도 구미시 금오산로22길 30, 1,2층 (원평동)",원평동,원평동,커피전문점,올데이커피
나눔카페,"경상북도 구미시 수출대로 337, 2층 (임수동)",임수동,진미동,커피전문점,나눔카페
제이커피,"경상북도 구미시 봉곡로 20, 1동 2층 (선기동, 구미칠곡축산농협종합유통센터)",선기동,선주원남동,커피전문점,제이커피
디저트39형곡송정점,"경상북도 구미시 송정대로 11, 1층 (송정동)",송정동,송정동,제과점/아이스크림,디저트39형곡송정점
잇츠토스트,"경상북도 구미시 신비로4길 22, 1층 (신평동)",신평동,신평1동,패스트푸드,잇츠토스트
메가엠지씨커피구미옥계점,"경상북도 구미시 산호대로 793, 1층 (옥계동)",옥계동,양포동,커피전문점,메가엠지씨커피구미옥계점
선산산업(주)선산휴게소하지점드롭탑,"경상북도 구미시 옥성면 중부내륙고속도로 129, 1층 (선산휴게소(하행선))",옥성면,옥성면,커피전문점,선산산업(주)선산휴게소하지점드롭탑
메가엠지씨커피구미도량점,"경상북도 구미시 도봉로 82, 1층 105호 (도량동, GMG프라자)",도량동,도량동,커피전문점,메가엠지씨커피구미도량점
정커피,"경상북도 구미시 신비로 165, 1층 (비산동)",비산동,비산동,커피전문점,정커피
봄봄선산점,"경상북도 구미시 선산읍 남문로 43-1, 1층",선산읍,선산읍,커피전문점,봄봄선산점
구미지역자활센터카페카리타스5호점,"경상북도 구미시 인동가산로 392, 1층 (구평동, 강동문화복지회관)",구평동,인동동,커피전문점,구미지역자활센터카페카리타스5호점
드롭탑 낙동강구미휴게소,"경상북도 구미시 도개면 용산3길 122-65, 1동 1층 (낙동강구미휴게소)",도개면,도개면,커피전문점,드롭탑낙동강구미휴게소
엔제리너스 낙동강구미휴게소,"경상북도 구미시 도개면 용산3길 122-65, 1동 1층 (낙동강구미휴게소)",도개면,도개면,커피전문점,엔제리너스낙동강구미휴게소
이디야구미금오산점,"경상북도 구미시 금오산로 164, 1층 (남통동)",남통동,선주원남동,커피전문점,이디야구미금오산점
카페콩,"경상북도 구미시 산동읍 신당인덕2로3길 8-8, 1층",산동읍,산동읍,커피전문점,카페콩
커피콩시청점,"경상북도 구미시 송원서로 19, 1층 (송정동)",송정동,송정동,커피전문점,커피콩시청점
커피팀버구미역점,"경상북도 구미시 역전로 36, 1,2,3층 (원평동)",원평동,원평동,커피전문점,커피팀버구미역점
초원커피,"경상북도 구미시 금오산로3길 8-2, 1층 (원평동)",원평동,원평동,커피전문점,초원커피
메가커피금오공대점,"경상북도 구미시 대학로 52-3, 4동 1층 (거의동)",거의동,양포동,커피전문점,메가커피금오공대점
커피인장명달원평점,"경상북도 구미시 금오산로22길 29, 3층 (원평동)",원평동,원평동,커피전문점,커피인장명달원평점
카페쑤,"경상북도 구미시 인동6길 20-1, 1층 (진평동)",진평동,진미동,커피전문점,카페쑤
더벤티옥계부영점,"경상북도 구미시 산호대로25길 42, 1층 (옥계동)",옥계동,양포동,커피전문점,더벤티옥계부영점
더벤티구미확장단지점,"경상북도 구미시 산동읍 신당1로3길 19, 1동 1층 103호 (골드타워)",산동읍,산동읍,커피전문점,더벤티구미확장단지점
메가커피구미확장단지점,"경상북도 구미시 산동읍 신당1로2길 15, 1층 110호",산동읍,산동읍,커피전문점,메가커피구미확장단지점
투썸플레이스구미지세븐스퀘어점,"경상북도 구미시 야은로 296, 1층 9,10호 (봉곡동)",봉곡동,선주원남동,커피전문점,투썸플레이스구미지세븐스퀘어점
카페다비다,"경상북도 구미시 구미대로32길 7, 1층 (신평동)",신평동,신평1동,커피전문점,카페다비다
커피374,"경상북도 구미시 임은길 51, 세이브 마트 1층 (임은동)",임은동,임오동,커피전문점,커피374
블랙라인커피옥계점,"경상북도 구미시 산호대로29길 8-3, 코스모빌딩 1층 103호 (옥계동)",옥계동,양포동,커피전문점,블랙라인커피옥계점
카페드롭탑구미점,"경상북도 구미시 금오산로 174-6, 1층 (남통동)",남통동,선주원남동,커피전문점,카페드롭탑구미점
커피를합니다,"경상북도 구미시 광평길 41, 1층 (광평동)",광평동,광평동,커피전문점,커피를합니다
배달의카페,"경상북도 구미시 상모로10길 45, 화성파크프레지던트2단지 1층 102호 (상모동)",상모동,상모사곡동,커피전문점,배달의카페
투썸플레이스구미신평점,"경상북도 구미시 구미대로 409, 1층 109,110,111호 (신평동)",신평동,신평1동,커피전문점,투썸플레이스구미신평점
투썸플레이스구미옥계점,"경상북도 구미시 산호대로29길 20-12, 1층 (옥계동)",옥계동,양포동,커피전문점,투썸플레이스구미옥계점
디포인트커피,"경상북도 구미시 금오산로16길 15, 1층 (원평동)",원평동,원평동,커피전문점,디포인트커피
할리스구미금오산DI점,"경상북도 구미시 금오산로 209, 1,2층 (남통동)",남통동,선주원남동,커피전문점,할리스구미금오산di점
미카커피,"경상북도 구미시 흥안로 48, 에덴아파트 209동 1층 109호 (옥계동)",옥계동,양포동,커피전문점,미카커피
텀브커피구미대학교점,"경상북도 구미시 부곡1길 38-2, 1층 (부곡동)",부곡동,선주원남동,커피전문점,텀브커피구미대학교점
봄봄봉곡점,"경상북도 구미시 봉곡로 108, 명성빌딩 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,봄봄봉곡점
커피에반하다옥계점,"경상북도 구미시 흥안로 35, 동화타운 상가1동 1층 112호 (옥계동)",옥계동,양포동,커피전문점,커피에반하다옥계점
카세트커피,"경상북도 구미시 1공단로7길 86-9, 1층 (공단동)",공단동,공단동,커피전문점,카세트커피
안녕마카롱,"경상북도 구미시 도봉로1길 8-1, 1층 (봉곡동)",봉곡동,선주원남동,제과점/아이스크림,안녕마카롱
선산산업(주)선산휴게소상지점드롭탑,"경상북도 구미시 옥성면 중부내륙고속도로 128, 선산휴게소 25동 1층",옥성면,옥성면,커피전문점,선산산업(주)선산휴게소상지점드롭탑
커피팀버문성점,"경상북도 구미시 고아읍 들성로 183, 1동 1,2층",고아읍,고아읍,커피전문점,커피팀버문성점
스타벅스구미도량디티점,"경상북도 구미시 야은로 312, 1,2층 (도량동)",도량동,도량동,커피전문점,스타벅스구미도량디티점
메가엠지씨커피구미역점,"경상북도 구미시 구미중앙로13길 3, 1층 (원평동)",원평동,원평동,커피전문점,메가엠지씨커피구미역점
카페루앤비구미옥계점,"경상북도 구미시 해마루공원로 113, 구미옥계우미린 상가동 1층 107호 (옥계동)",옥계동,양포동,커피전문점,카페루앤비구미옥계점
더벤티구미인동점,"경상북도 구미시 인동중앙로1길 17, 1층 (황상동)",황상동,인동동,커피전문점,더벤티구미인동점
디저트39문성점,"경상북도 구미시 고아읍 들성로 170, 1층",고아읍,고아읍,제과점/아이스크림,디저트39문성점
더벤티송정점,"경상북도 구미시 백산로 66, 1층 (송정동)",송정동,송정동,커피전문점,더벤티송정점
카페마그금오시장점,"경상북도 구미시 구미중앙로35길 23, 1층 (원평동)",원평동,원평동,커피전문점,카페마그금오시장점
카페보스구미진평점,"경상북도 구미시 인동16길 5, 1층 (진평동)",진평동,진미동,커피전문점,카페보스구미진평점
카페풀,"경상북도 구미시 신비로 147, 지하1층 (비산동)",비산동,비산동,커피전문점,카페풀
카페백운옥,"경상북도 구미시 인동35길 40, 1, 2층 (구평동)",구평동,인동동,커피전문점,카페백운옥
얌얌떡볶이옥계산동구포점,"경상북도 구미시 흥안로 5, 1층 (옥계동)",옥계동,양포동,한식,얌얌떡볶이옥계산동구포점
공차구미옥계점,"경상북도 구미시 옥계북로 36, 메디칼타워 1층 105호 (옥계동)",옥계동,양포동,커피전문점,공차구미옥계점
이디야구미확장단지점,"경상북도 구미시 산동읍 신당2로 29, 1동 1층 101,102호",산동읍,산동읍,커피전문점,이디야구미확장단지점
스타벅스구미상모디티점,"경상북도 구미시 금오대로 439, 1동 1,2층 (상모동)",상모동,상모사곡동,커피전문점,스타벅스구미상모디티점
하삼동커피확장단지점,"경상북도 구미시 산동읍 신당1로2길 14, 1동 1층",산동읍,산동읍,커피전문점,하삼동커피확장단지점
카페케이,"경상북도 구미시 인동남길 96, 1층 (진평동)",진평동,진미동,커피전문점,카페케이
구미더치커피전문점,"경상북도 구미시 봉곡로18길 3, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,구미더치커피전문점
투썸플레이스구미진평점,"경상북도 구미시 인동남길 112, 1층 (진평동)",진평동,진미동,커피전문점,투썸플레이스구미진평점
보보스커피숍,"경상북도 구미시 장천면 강동로 176, 1층",장천면,장천면,커피전문점,보보스커피숍
메가엠지씨커피비산구미점,"경상북도 구미시 신비로 115, 1층 나호 (비산동)",비산동,비산동,커피전문점,메가엠지씨커피비산구미점
카페더오션,"경상북도 구미시 인동15길 14, 2층 (인의동)",인의동,인동동,커피전문점,카페더오션
에그드랍,"경상북도 구미시 구미중앙로 92, 1층 나호 (원평동)",원평동,원평동,패스트푸드,에그드랍
봄봄상모사곡점,"경상북도 구미시 상모로 51, 1층 (상모동)",상모동,상모사곡동,커피전문점,봄봄상모사곡점
봄봄도량원호점,"경상북도 구미시 문장로 111, 상가동 1층 303호 (도량동, 도량 롯데캐슬 골드파크)",도량동,도량동,커피전문점,봄봄도량원호점
메가엠지씨커피구미송정점,"경상북도 구미시 송정대로 90, 1층 (송정동)",송정동,송정동,커피전문점,메가엠지씨커피구미송정점
하이케이크,"경상북도 구미시 도봉로 8, 현진에버빌 상가동 1층 108호 (봉곡동)",봉곡동,선주원남동,제과점/아이스크림,하이케이크
공차구미형곡점,"경상북도 구미시 신시로 67, 1층 (형곡동)",형곡동,형곡1동,커피전문점,공차구미형곡점
투썸플레이스구미확장단지점,"경상북도 구미시 산동읍 신당2로 9, 동흥프라자 1,2층 102,201호",산동읍,산동읍,커피전문점,투썸플레이스구미확장단지점
이디야커피도량롯데캐슬점,"경상북도 구미시 문장로 105, 도량 롯데캐슬 골드파크 301동 1층 1-6호 (도량동)",도량동,도량동,커피전문점,이디야커피도량롯데캐슬점
빽다방구미형곡점,"경상북도 구미시 신시로 59, 1층 (형곡동)",형곡동,형곡1동,커피전문점,빽다방구미형곡점
카페더치즈케익구미점,"경상북도 구미시 산동읍 신당1로4길 3, 1층 108,109호",산동읍,산동읍,커피전문점,카페더치즈케익구미점
커피명가어나더하우스,"경상북도 구미시 야은로 304, 1층 (도량동)",도량동,도량동,커피전문점,커피명가어나더하우스
커피명가어나더하우스2,"경상북도 구미시 야은로 304, 2층 (도량동)",도량동,도량동,커피전문점,커피명가어나더하우스2
공차구미봉곡점,"경상북도 구미시 봉곡로 100, 봉곡프라자 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,공차구미봉곡점
더벤티구미비산점,"경상북도 구미시 신비로 95, 강변파라디아 B동 1층 106호 (공단동)",공단동,공단동,커피전문점,더벤티구미비산점
봄봄문성점,"경상북도 구미시 고아읍 들성로 171, 상가동 1층 104호 (구미고아세영리첼레이크뷰)",고아읍,고아읍,커피전문점,봄봄문성점
강브레드,"경상북도 구미시 원남로 59, 1층 (원평동)",원평동,원평동,제과점/아이스크림,강브레드
뽀도독애견카페,"경상북도 구미시 고아읍 들성로 224, 1동 2층",고아읍,고아읍,커피전문점,뽀도독애견카페
카페모캄보구미산동점,"경상북도 구미시 산동읍 강동로 953-39, 1동 1층",산동읍,산동읍,커피전문점,카페모캄보구미산동점
카페댕미,"경상북도 구미시 인동46길 24, 8단지부영아파트 상가동 3층 301호 (구평동)",구평동,인동동,커피전문점,카페댕미
카페데미르,"경상북도 구미시 인동24길 17, 1층 (진평동)",진평동,진미동,커피전문점,카페데미르
커피인장명달상모점,"경상북도 구미시 상모로8길 6, B동 1층 (상모동)",상모동,상모사곡동,커피전문점,커피인장명달상모점
카페카리타스구미에코랜드점,"경상북도 구미시 산동읍 인덕1길 195, 1동 1층",산동읍,산동읍,커피전문점,카페카리타스구미에코랜드점
라온카페,"경상북도 구미시 원남로 108, 2층 (원평동)",원평동,원평동,커피전문점,라온카페
더벤티옥계4공단점,"경상북도 구미시 산호대로31길 15, 4공단메디파크 1층 105호 (옥계동)",옥계동,양포동,커피전문점,더벤티옥계4공단점
더노크사회적협동조합교육연구소앤카페,"경상북도 구미시 봉곡서로 34, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,더노크사회적협동조합교육연구소앤카페
공차구미상모점,"경상북도 구미시 상사서로 62, 1층 (상모동)",상모동,상모사곡동,커피전문점,공차구미상모점
미미케이크,"경상북도 구미시 신비로3길 18-4, 1층 (신평동)",신평동,신평1동,제과점/아이스크림,미미케이크
굿커피제과제빵,"경상북도 구미시 야은로 445-6, 1층 (도량동)",도량동,도량동,제과점/아이스크림,굿커피제과제빵
빽다방구미인동점,"경상북도 구미시 인동중앙로 8, 1층 (인의동)",인의동,인동동,커피전문점,빽다방구미인동점
카페와플,"경상북도 구미시 봉곡로24길 3, 영남네오빌시티 104동 1층 109호 (봉곡동)",봉곡동,선주원남동,제과점/아이스크림,카페와플
카페연두콩,"경상북도 구미시 산호대로24길 9-31, 1층 101호 (옥계동, 어린왕자 하나)",옥계동,양포동,커피전문점,카페연두콩
에이바우트커피구미원평점,"경상북도 구미시 금오산로6길 13-3, 1층 (원평동)",원평동,원평동,커피전문점,에이바우트커피구미원평점
카페아이언,"경상북도 구미시 선산읍 남문로4길 3, 1층",선산읍,선산읍,커피전문점,카페아이언
감성커피구미옥계점,"경상북도 구미시 흥안로1길 4, 옥계시장형 종합상가 A동 1층 103호 (옥계동)",옥계동,양포동,커피전문점,감성커피구미옥계점
경성나들이카페브라비,"경상북도 구미시 구미중앙로 150-3, 2층 (원평동)",원평동,원평동,커피전문점,경성나들이카페브라비
컴포즈커피구미상모점,"경상북도 구미시 상사서로 92, 1층 (상모동)",상모동,상모사곡동,커피전문점,컴포즈커피구미상모점
메가엠지씨커피구미봉곡점,"경상북도 구미시 봉곡남로20길 4, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,메가엠지씨커피구미봉곡점
동네커피,"경상북도 구미시 산동읍 신당인덕2로2길 3-10, 1동 1층",산동읍,산동읍,커피전문점,동네커피
덕촌분식,"경상북도 구미시 인동31길 22-17, 1층 (인의동)",인의동,인동동,한식,덕촌분식
동네커피1988,"경상북도 구미시 흥안로 67, 대백타운 상가동 1층 9호 (옥계동)",옥계동,양포동,커피전문점,동네커피1988
사주다방,"경상북도 구미시 금오산로 52-2, 1층 (원평동)",원평동,원평동,커피전문점,사주다방
골목커피,"경상북도 구미시 산업로4길 48-1, 1층 (원평동)",원평동,원평동,커피전문점,골목커피
더벤티금오파크점,"경상북도 구미시 새마을로 150-1, 상가1동 1층 110호 (사곡동)",사곡동,상모사곡동,커피전문점,더벤티금오파크점
리치가플라워카페,"경상북도 구미시 인동16길 7, 2동 1층 (진평동)",진평동,진미동,커피전문점,리치가플라워카페
스타벅스구미확장단지점,"경상북도 구미시 산동읍 신당1로4길 19, 1동 1층 101,102,103,104,105호",산동읍,산동읍,커피전문점,스타벅스구미확장단지점
카페보나,"경상북도 구미시 구미중앙로 101-2, 1,2층 (원평동)",원평동,원평동,커피전문점,카페보나
더벤티구미형곡점,"경상북도 구미시 신시로 55, 1층 (형곡동)",형곡동,형곡1동,커피전문점,더벤티구미형곡점
구미경찰서카페808,"경상북도 구미시 구미대로 350-19, 구미경찰서 본관 1층 (신평동)",신평동,신평1동,커피전문점,구미경찰서카페808
더벤티구미신평점,"경상북도 구미시 신비로 4, 1층 나호 (신평동)",신평동,신평1동,커피전문점,더벤티구미신평점
드롭탑구미터미널점,"경상북도 구미시 송원동로 58-7, 1층 102호 (원평동)",원평동,원평동,커피전문점,드롭탑구미터미널점
빽다방구미확장단지점,"경상북도 구미시 산동읍 신당1로2길 13, 1동 1층 110호",산동읍,산동읍,커피전문점,빽다방구미확장단지점
투썸플레이스구미봉곡점,"경상북도 구미시 봉곡북로 69, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,투썸플레이스구미봉곡점
읍천리구미봉곡점,"경상북도 구미시 봉곡남로 87-1, 1층 (봉곡동)",봉곡동,선주원남동,커피전문점,읍천리구미봉곡점
